Index,Number,Type
1,569308,Even
2,340518,Even
3,726863,Odd
4,662701,Odd
5,469186,Even
6,942755,Odd
7,772503,Odd
8,516747,Odd
9,638331,Odd
10,476691,Odd
11,343357,Odd
12,380974,Even
13,851981,Odd
14,242804,Even
15,973789,Odd
16,453466,Even
17,804437,Odd
18,550735,Odd
19,725160,Even
20,229794,Even
21,490608,Even
22,674342,Even
23,296161,Odd
24,365095,Odd
25,576640,Even
26,29053,Odd
27,537192,Even
28,119509,Odd
29,286827,Odd
30,74173,Odd
31,606827,Odd
32,860265,Odd
33,981689,Odd
34,814593,Odd
35,948128,Even
36,785513,Odd
37,462078,Even
38,749641,Odd
39,762466,Even
40,768832,Even
41,368574,Even
42,538417,Odd
43,991630,Even
44,24690,Even
45,761985,Odd
46,786317,Odd
47,260829,Odd
48,996683,Odd
49,912605,Odd
50,80695,Odd
51,175905,Odd
52,157694,Even
53,995989,Odd
54,542844,Even
55,206697,Odd
56,773571,Odd
57,569913,Odd
58,647604,Even
59,707924,Even
60,783137,Odd
61,193179,Odd
62,982680,Even
63,264760,Even
64,568458,Even
65,49955,Odd
66,499305,Odd
67,865945,Odd
68,941414,Even
69,165156,Even
70,334449,Odd
71,950458,Even
72,93972,Even
73,940333,Odd
74,4070,Even
75,677921,Odd
76,773124,Even
77,564777,Odd
78,48282,Even
79,147008,Even
80,387525,Odd
81,918656,Even
82,89501,Odd
83,280246,Even
84,853436,Even
85,845702,Even
86,591556,Even
87,34844,Even
88,322505,Odd
89,625698,Even
90,146380,Even
91,601241,Odd
92,812696,Even
93,394459,Odd
94,696106,Even
95,257178,Even
96,700127,Odd
97,689513,Odd
98,198040,Even
99,675251,Odd
100,384816,Even
101,459239,Odd
102,265300,Even
103,72518,Even
104,808505,Odd
105,943428,Even
106,903128,Even
107,339901,Odd
108,92102,Even
109,720291,Odd
110,1113,Odd
111,931783,Odd
112,136469,Odd
113,260505,Odd
114,789328,Even
115,861941,Odd
116,398443,Odd
117,489370,Even
118,216562,Even
119,419797,Odd
120,635299,Odd
121,353559,Odd
122,866971,Odd
123,79810,Even
124,357523,Odd
125,396397,Odd
126,227171,Odd
127,930644,Even
128,3226,Even
129,936678,Even
130,702234,Even
131,614897,Odd
132,423129,Odd
133,663680,Even
134,648377,Odd
135,289737,Odd
136,962796,Even
137,273573,Odd
138,837466,Even
139,173665,Odd
140,916350,Even
141,2260,Even
142,232403,Odd
143,280741,Odd
144,133544,Even
145,16052,Even
146,510862,Even
147,485728,Even
148,950950,Even
149,276890,Even
150,293608,Even
151,582346,Even
152,32973,Odd
153,596467,Odd
154,113190,Even
155,345560,Even
156,172043,Odd
157,71364,Even
158,159218,Even
159,459679,Odd
160,903665,Odd
161,339343,Odd
162,704331,Odd
163,938672,Even
164,878697,Odd
165,444614,Even
166,228192,Even
167,716063,Odd
168,731027,Odd
169,415981,Odd
170,464857,Odd
171,281463,Odd
172,475579,Odd
173,59005,Odd
174,224622,Even
175,771438,Even
176,662902,Even
177,803548,Even
178,213214,Even
179,144397,Odd
180,375575,Odd
181,507508,Even
182,186692,Even
183,631094,Even
184,93218,Even
185,827970,Even
186,633334,Even
187,164905,Odd
188,480677,Odd
189,944889,Odd
190,683186,Even
191,281936,Even
192,660629,Odd
193,631795,Odd
194,310618,Even
195,16942,Even
196,11790,Even
197,45033,Odd
198,379185,Odd
199,533184,Even
200,608160,Even
201,257742,Even
202,343100,Even
